SR NO,SONG NAME,YEAR,ALBUM/MOVIE NAME,DURATION,TYPE,LINK,LANGUAGE,GENRE,SINGERS,RATING
1,Mandirat Antarat,1986,Dhakti Sun,0:04:17,Religious,https://www.jiosaavn.com/song/mandirat-antarat/ARw9YgMIWmA,MARATHI,Devotional,Sudhir Phadke,7.9
2,Krishna Krishna Nandkishora,1988,Majha Pati Karodpati,0:06:02,Religious,https://www.jiosaavn.com/song/krishna-krishna-nandkishora/BTEIAisBe3Q,MARATHI,Devotional,Arun Paudwal,9.2
3,Paavlo Pandhari,1982,Abhangvani,0:06:32,Religious,https://www.jiosaavn.com/song/paavlo-pandhari-vaikunthabhuvan/QzoeXCdEQ3k,MARATHI,Devotional,Ram Pathak,8.5
4,Aaj lakshmi cha roop kasa,1991,Maherchi Saadi,0:04:07,Religious,"https://www.jiosaavn.com/album/manik-rang-manik-varma-bhavgeete-n-bhaktigeete/nC,iHV4dOVE_",Punjabi,Devotional,others,8.7
5,Sa Re Ga Ma Pa Dha Ni Sa,1996,Ganapati Aarti,0:03:11,Religious,https://www.jiosaavn.com/song/sa-re-ga-ma-pa-dha-ni-sa/NTgHUz1kVmQ,MARATHI,Devotional,Yashwant Dev,7.2
6,Gajanana Shri Ganraya Song,1996,Ganapati Aarti,0:06:32,Religious,https://www.jiosaavn.com/song/gajanana-shri-ganraya/CT85UCwFA3s,MARATHI,Devotional,Lata Mangeshkar,7.2
7,Aala Gokulcha Kanha,1997,Aala Re Govinda,0:05:11,Religious,https://www.jiosaavn.com/song/aala-gokulcha-kanha-sambhal-tuzi/JBwBARYdBVE,MARATHI,Devotional,Ashok Waingankar,8.9
8,Malhar wari,2005,Aga bai areccha,0:05:54,Religious,https://www.jiosaavn.com/song/malhar-wari/BiARXyFRf1g,MARATHI,Devotional,Ajay Gogavale,8.5
9,Morya Morya,2008,Uladhaal,0:05:30,Religious,https://www.jiosaavn.com/song/morya-morya/PCo-eQ5bB1Y,MARATHI,Devotional,Ajay Gogavale,6
10,Durge Durghat Bhari,2005,Aga Bai Arrecha,0:05:11,Religious,https://www.jiosaavn.com/song/durge-durghat-bhari/OlkKWw18Gnc,MARATHI,Devotional,Ajay Gogavale,8.7
11,Shree Ganeshay Dheemahi,2005,Bappa Moraya Re,0:04,Religious,"https://www.jiosaavn.com/album/shree-ganeshay-dheemahi/dQTTYBk,xeY_",MARATHI,Devotional,Shankar Mahadevan,8.1
12,Aai Bhavani,2004,Savarkhed Ek Gaon,0:05:05,Religious,https://www.jiosaavn.com/song/aai-bhavani/CAM8YjlFYUI,MARATHI,Devotional,Ajay-Atul,8.8
13,Tuj Maagatho Mi Aatha,2009,Ganpati Aarti Ashtvinayak Geete,0:06:02,Religious,https://www.jiosaavn.com/song/tuj-maagatho-mi-aatha/JikyCQ5XZAA,MARATHI,Devotional,Hridaynath Mangeshkar,8.1
14,Bappa Moraya Re,2005,Bappa Moraya Re,0:05:41,Religious,https://www.jiosaavn.com/album/bappa-moraya-re/XgZiGDfLYL4_,MARATHI,Devotional,Shankar Mahadevan,7.9
15,Deva Ho Deva Ganpati Deva,2008,D.J. Dhamal Ganpati,0:06:02,Religious,https://www.jiosaavn.com/album/deva-ho-deva-ganpati-deva/dtrEbW3OWA0_,MARATHI,Devotional,Nitin Morajkar,9.4
16,Khanderaya Zaali Majhi Daina,2018,Khanderaya Zaali Majhi Daina,0:03:55,Religious,https://www.jiosaavn.com/song/khanderaya-zaali-majhi-daina/MixZawVIX2Y,MARATHI,Devotional,Vaibhav Londhe,9.2
17,Mauli Mauli,2014,Lai Bhaari,0:05:05,Religious,https://www.jiosaavn.com/song/mauli-mauli/Ly4Ed0ddB3k,MARATHI,Devotional,Ajay-Atul,9
18,Mazi Pandhari Chi Maay,2018,Mauli,0:07:11,Religious,https://www.jiosaavn.com/song/mazi-pandhari-chi-maay/FBkaCSBhTXU,MARATHI,Devotional,Ajay-Atul,6.5
19,Bhola Bhandari,2015,Katyar Kaljat Ghusli,0:03:28,Religious,https://www.jiosaavn.com/song/bhola-bhandari/SAQnZyJDYH4,MARATHI,Devotional,Arijit Singh,9.5
20,Morya Morya,2015,Dagdi Chawl,0:04:26,Religious,https://www.jiosaavn.com/song/morya-morya/PCo-eQ5bB1Y,MARATHI,Devotional,Amritraj,9.2
21,Vithala,2010,Zenda,0:03:40,Religious,https://www.jiosaavn.com/song/vithala-vithala-konta-zenda/PQNcewxAX0A,MARATHI,Devotional,Avadhoot Gupte,6.5
22,Mitter Pyare Noon,1970,Nanak Naam Jahaz hai,3:08,Devotional,https://gaana.com/song/mittar-pyare-nu-5?autoplay=true,Punjabi,Devotional,Mohammed Rafi,6
23,Re Man Ayso Kar Sanyasa,1970,Nanak Naam Jahaz hai,4:06,Devotional,https://gaana.com/song/re-man-ayso-kar-sanyasa,Punjabi,Devotional,Asha Bhosle,7
24,Mere ram rahey,1993,Shabad Gurbani,14:38,Devotional,https://gaana.com/song/mere-ram-rahey,Punjabi,Devotional,Bhai Harjinder Singh Ji,5
25,Satnam wahe guru,1995,Punjabi Aarti,11:30,Devotional,https://gaana.com/song/satnam-wahe-guru-2,Punjabi,Devotional,Bhai Harjinder Singh Ji,8
