SONG NAME,YEAR,ALBUM/MOVIE NAME,DURATION,TYPE,LINK,LANGUAGE,GENRE,SINGERS,RATING
Iski Uski,2014,2 States,4:42,Wedding Pop,https://gaana.com/song/iski-uski?autoplay=true,PUNJABI,Pop,OTHERS,9
24 25 26,2017,24 25 26,3:38,Rock,https://www.jiosaavn.com/song/24-25-26/PT44YzVXYUI,PUNJABI,Pop,OTHERS,7.5
All Izz Well,2009,3 Idiots,4:35,life,https://gaana.com/song/aal-izz-well,HINDI,life,SONU NIGAM,8.1
Behti Hawa Sa Tha Woh,2009,3 Idiots,5:00,life,https://gaana.com/song/behti-hawa-sa-tha-w0h,HINDI,life,OTHERS,9.4
Give Me Some Sunshine,2009,3 Idiots,4:05,life,https://gaana.com/song/give-me-some-sunshine,HINDI,life,OTHERS,9.6
Jaane Nahi Denge Tujhe,2009,3 Idiots,3:31,friendship,https://gaana.com/song/jaane-nahin-denge-tujhe,HINDI,life,SONU NIGAM,9.1
Zoobi Doobi,2009,3 Idiots,4:07,love,https://gaana.com/song/zoobi-doobi,HINDI,Love,SONU NIGAM,9.1
Bas Tu Hai,2018,3 Storeys,4:23,love,https://gaana.com/song/bas-tu-hai,HINDI,Love,ARIJIT SINGH,9.2
Raasleela,2018,3 Storeys,4:07,love,https://gaana.com/song/raasleela-3,HINDI,Love,OTHERS,9.3
5 Taara,2015,5 Taara,3:44,Party Song,https://gaana.com/songinfo/5-taara-2,PUNJABI,Party,GURU RANDHAWA,8.5
Awaara,2011,7 Khoon Maaf,5:32,love,https://gaana.com/song/awaara-14,HINDI,Love,OTHERS,9.6
Tera Saath Ho,2012,7 Welcome To London,3:41,sad love,https://gaana.com/song/tera-saath-ho,HINDI,Love,OTHERS,9.5
LOVE YOURSELF,2002,8 MILE,5:24,POP,https://gaana.com/song/love-yourself-51,ENGLISH,Pop,EMINEM,6.9
A Flying Jatt,2016,A Flying Jatt,4:37,entertaining,https://gaana.com/song/a-flying-jatt-title-track,HINDI,Other,OTHERS,8.2
Beat Pe Booty,2016,A Flying Jatt,3:18,rock,https://gaana.com/song/beat-pe-booty-1,HINDI,Pop,OTHERS,8.9
Bhangda Pa,2016,A Flying Jatt,3:58,thug life,https://gaana.com/song/bhangda-pa-1,HINDI,Other,OTHERS,9
Khair Mangda,2016,A Flying Jatt,4:18,love,https://gaana.com/song/khair-mangda-1,HINDI,Love,ATIF ASLAM,9.3
Raj Karega Khalsa,2016,A Flying Jatt,5:28,thug life,https://gaana.com/song/raj-karega-khalsa-5,HINDI,Other,OTHERS,8.4
Toota Jo Kabhi Tara,2016,A Flying Jatt,5:05,love,https://gaana.com/song/toota-jo-kabhi-tara,HINDI,Love,ATIF ASLAM,9.3
Baat Ban Jaaye,2017,A Gentleman,3:12,love,https://gaana.com/song/baat-ban-jaye-3,HINDI,Love,OTHERS,8.8
Baat Ban Jaye,2017,A Gentleman,3:12,"romantic love,rock",https://gaana.com/song/baat-ban-jaye-3,HINDI,Love,OTHERS,9.4
Chandralekha,2017,A Gentleman,3:12,,https://gaana.com/song/chandralekha-hindi,HINDI,Other,OTHERS,9.2
Disco Disco,2011,A Gentleman,2:46,rock,https://gaana.com/song/disco-disco-29,HINDI,Pop,OTHERS,9.2
Disco Disco,2017,A Gentleman,2:46,thug life,https://gaana.com/song/disco-disco-29,HINDI,Other,OTHERS,8.9
Laagi Na Choote,2017,A Gentleman,3:30,love,https://gaana.com/song/laagi-na-choote,HINDI,Love,ARIJIT SINGH,9.3
