NAME OF SONG,RELEASE YEAR,SINGERS,MOVIE NAME,SONG DURATION,RATING,TYPE OF SONG,LINK TO AUDIO,LANGUAGE,genre
Aali Thumkat Naar Lachkat,1972,Vishnu Waghmare,Pinjara,0:03:41,8.9,love,https://www.jiosaavn.com/song/aali-thumkat-naar/BAUvQitnB0E,MARATHI,love
Chhabidar Chhabi Mi,1972,Usha Mangeshkar,Pinjara,0:03:40,7.9,Self,https://www.jiosaavn.com/song/chabidar-chabi/SAkfYEQEUn4,MARATHI,life
Disate Majla Sukh Chitra Nave,1979,Anil-Arun,Navvadhu Priya Mi ,0:05:43,6,Romantic,https://www.jiosaavn.com/song/disate-majla-sukh-chitra-nave/NRBGYA1YBH8,MARATHI,
Disala Ga Bai Disala,1972,Usha Mangeshkar,Pinjara,0:04:56,8.7,Happy,https://www.jiosaavn.com/song/disla-ga-bai-disla/ADIAeyR7cUs,MARATHI,
Kashi Nashibana Thatta,1972,Sudhir Phadke,Pinjara,0:04:00,6.5,Sad,https://www.jiosaavn.com/song/kashi-nashibana-thatta-aaj-mandali/KgY6ZDYBcEo,MARATHI,
Mala Lagali Kunachi Uchaki,1972,Usha Mangeshkar,Pinjara,0:03:55,8.9,Party,"https://www.jiosaavn.com/song/mala-lagali-kunachi-uchaki/QTkMexx,QgE",MARATHI,
Pappa Saanga Kunache,1973,C. Ramchandra,Mamachya Gavala Javoo Ya ,0:04:17,5,Happy,https://www.jiosaavn.com/song/pappa-saanga-kunache/BC4EfDNqVXU,MARATHI,
Hil Pori Hila,1973,Prabhakar Jog,Dadache Danke,0:03:41,8.1,love,https://www.jiosaavn.com/song/hil-pori-hila/HTwSYRBZQHY,MARATHI,
Hridayi Vasant Phultana,1989,Suresh Wadkar,Ashi hi banwa banwi,0:06:46,9,Romantic,https://www.jiosaavn.com/song/hridayi-vasant-phulatana/AzA6AT9ARUo,MARATHI,
Mee kashi tula re,1988,Anuradha Paudwal,Bhutacha bhau,0:04:56,8.8,Love,https://www.jiosaavn.com/song/mee-kashi-tula-re/QgIxRjhkYwM,MARATHI,
Ashi hi banwa banwi,1989,Suresh Wadkar,Ashi hi banwa banwi,0:04:35,7.2,Comedy,https://www.jiosaavn.com/album/ashi-hi-banwa-banwi/fDTuKjjr6KM_,MARATHI,
Swargahuni Sunder Gharte,1986,Arun Paudwal,Majh Ghar Majha Sansar ,0:04:00,7.2,Happy,https://www.hungama.com/song/swargahun-sunder-rashinagaon/284053/,MARATHI,
Na Sangatach Aaj,1989,Arun Paudwal,Saglikade Bombabomb ,0:05:43,7,Happy,https://www.jiosaavn.com/song/swargahuni-sunder-gharte/GTAPACx7Rnk,MARATHI,
Thamb Ga Sajani,1989,Arun Paudwal,Saglikade Bombabomb ,0:05:43,8.1,Romantic,https://www.jiosaavn.com/song/thamb-ga-sajani/GCkSWjNvdnA,MARATHI,
Jhunjur Munjur,1984,Rajendra Vinay,Bin Kamacha Navra ,0:04:56,6.8,Comedy,https://www.jiosaavn.com/song/jhunjur-munjur/Mx4-RyUCBUM,MARATHI,
Mandirat Antarat,1986,Sudhir Phadke,Dhakti Sun ,0:04:17,7.9,Religious,https://www.jiosaavn.com/song/mandirat-antarat/ARw9YgMIWmA,MARATHI,
Ekach Hya Janmi Janu,1986,Asha Bhosle,Pudhach Paul ,0:04:33,9.4,Happy,https://www.jiosaavn.com/song/ekach-hya-janmi-janu/OywIYiNke3A,MARATHI,
Kunitari Yenar,1989,Arun Paudwal,Ashi hi banwa banwi,0:04:56,9.5,Happy,https://www.jiosaavn.com/song/kunitari-yenar/IB8RXjpGWlc,MARATHI,
Tujhi Majhi Jodi Jamli,1988,Kishor Kumar,Majha Pati Karodpati ,0:05:38,8.3,Chill,"https://www.jiosaavn.com/song/tujhi-majhi-jodi-jamli/SSk,AQZ1RmU",MARATHI,
Krishna Krishna Nandkishora,1988,Arun Paudwal,Majha Pati Karodpati ,0:06:02,9.2,Religious,https://www.jiosaavn.com/song/krishna-krishna-nandkishora/BTEIAisBe3Q,MARATHI,
Mi Prem Nagarcha Raja,1985,Laxman,Aamhi Dogh Rajarani ,0:06:17,8.5,Romantic,https://www.jiosaavn.com/song/mi-prem-nagarcha-raja/AT0AexJTbkc,MARATHI,
Paavlo Pandhari ,1982,Ram Pathak,Abhangvani,0:06:32,8.5,Religious,https://www.jiosaavn.com/song/paavlo-pandhari-vaikunthabhuvan/QzoeXCdEQ3k,MARATHI,
Aga Aga Pori Faslis Ga,1985,Anil Arun,Dhumdhadaka,0:04:17,7.3,Romantic,https://www.jiosaavn.com/song/aga-aga-pori-faslis-ga/GEUeRRdURXA,MARATHI,
Raat Ashi Preet Ashi,1988,Arun Paudwal,Majha Pati Karodpati ,0:05:54,8,Romantic,https://www.jiosaavn.com/song/raat-ashi-preet-ashi/PC0ddiV9UlQ,MARATHI,
He Jeevan Sundar,1991,Asha Bhosle,Chaukat Raja,0:06:17,7.7,Motivational,https://www.jiosaavn.com/song/he-jeevan-sundar-aahe/XSwZZkVcXEU,MARATHI,
Ek zoka chuke kaljacha thoka,1991,Anand Modak,Chaukat Raja,0:04:51,8,Chill,https://www.jiosaavn.com/song/ek-zoka-chuke-kaljacha-thoka/PSwsRiBGfFU,MARATHI,
Mee asa kasa vegla vegla,1991,Anand Modak,Chaukat Raja,0:05:38,8.9,Happy,https://www.jiosaavn.com/song/mee-asa-kasa-vegla-vegla/FjsbZiZfewY,MARATHI,
Shodhit gaav aalo,1991,Jayashree Shivram,Chaukat Raja,0:02:41,7.9,Sad,https://www.jiosaavn.com/song/shodhit-gaav-aalo-swapnat-paahilele/Qw0SaDVTc1c,MARATHI,
Yugayugache naate apule,1991,Anand Modak,Chaukat Raja,0:04:33,6,Romantic,https://www.jiosaavn.com/song/yugayuganche-naate-apule/BC0oAAJnRgs,MARATHI,
Aaj lakshmi cha roop kasa,1991,Raamlaxman,Maherchi Saadi,0:04:07,8.7,Religious,"https://www.jiosaavn.com/album/manik-rang-manik-varma-bhavgeete-n-bhaktigeete/nC,iHV4dOVE_",MARATHI,
Dubhangli Dhava Karate,1991,Laxman,Maherchi Saadi,0:08:22,6.5,Sad,https://www.jiosaavn.com/song/dhava/KV49UzVCBQc,MARATHI,
Phoolale re kshan maaze,1994,Asha Bhosle,Rutu Hirwa,0:06:02,8.9,Happy,https://www.jiosaavn.com/album/phulale-re-kshan-majhe/z0jvllDVXTk_,MARATHI,
Saanj ye gokuli,1994,Asha Bhosle,Rutu Hirwa,0:04:56,5,Chill,https://www.jiosaavn.com/song/saanj-ye-gokuli/J1wkWhEEQ1I,MARATHI,
Ghan rani,1994,Asha Bhosle,Rutu Hirwa,0:05:41,8.1,Self,https://www.jiosaavn.com/song/ghan-rani/O1gqA0JZD0o,MARATHI,
Preeticha zul zul paani,1999,Usha Mangeshkar,Nisarga Raja,0:03:18,9,Chill,https://www.jiosaavn.com/song/preeticha-zul-zul-paani/NDkxaVlIBkk,MARATHI,
Shodhu mi kuthe,1999,Lata Mangeshkar,Nisarga Raja,0:04:17,8.8,Chill,https://www.jiosaavn.com/song/shodhu-mee-kuthe/OCoEYSNgZFc,MARATHI,
Sa Re Ga Ma Pa Dha Ni Sa,1996,Yashwant Dev,Ganapati Aarti ,0:03:11,7.2,Religious,https://www.jiosaavn.com/song/sa-re-ga-ma-pa-dha-ni-sa/NTgHUz1kVmQ,MARATHI,
Gajanana Shri Ganraya Song,1996,Lata Mangeshkar,Ganapati Aarti ,0:06:32,7.2,Religious,https://www.jiosaavn.com/song/gajanana-shri-ganraya/CT85UCwFA3s,MARATHI,
Phite Andharache Jaale,1999,Shridhar phadke,Phite Andharache Jaale,0:06:02,7,Happy,"https://www.jiosaavn.com/song/phite-andharache-jaale/PAY,A0dmT3Y",MARATHI,
De Na Aekach Muka,1991,Raamlaxman,Palva Palvi ,0:04:00,8.1,Party,https://www.jiosaavn.com/song/de-na-aekach-muka/QFoHYQRdVnc,MARATHI,
Shodhu Mee Kuthe,1999,Lata Mangeshkar,Nisarg Raja ,0:05:11,6.8,Chill,https://www.jiosaavn.com/song/shodhu-mee-kuthe/OCoEYSNgZFc,MARATHI,
Manmohana Tu Raja Swapnatala,1991,Anil Mohile,Hamal De Dhamal ,0:05:54,7.9,Romantic,https://www.jiosaavn.com/song/manmohana-tu-raja-swapnatala/RhkCADcCYFg,MARATHI,
Hi Dosti Tutayachi Naay ,1992,Anil Mohile,Dhadakebaaj ,0:03:55,9.4,Friendship,https://www.jiosaavn.com/song/hi-dosti-tutayachi-naay-happy/Oy4fCQwDcng,MARATHI,
Batata Vada,1994,Anand Shinde,Tondala Sutala Paani ,0:05:54,9.5,Comedy,https://www.jiosaavn.com/song/batata-vada/XS8yHEFaWV4,MARATHI,
Sundar Te Dhyan,1991,Lata Mangeshkar,Gajalele Abhang ,0:06:46,8.3,Chill,https://www.jiosaavn.com/album/sundar-te-dhyan/mhj6b6cy0A4_,MARATHI,
Paree Dhuan,1997,Lesle Lewis,Talaash ,0:06:02,9.2,Sad,https://www.jiosaavn.com/song/paree-dhuan/HxBYSTsDYnA,MARATHI,
